$100-a-plate dinner	tuluõhtu, heategevuslik bankett
French Lieutenant's Woman	Prantsuse leitnandi tüdruk
Frenchman	prantslane
French Morocco	Prantsuse Maroko
French pancake	väike õhuke pannkook
French Polynesia	Prantsuse Polüneesia
French Revolution	Prantsuse revolutsioon
French Riviera	Côte d'Azur
French sidewalk	tänava-
French-speaking	prantsuskeelne, prantsuse keelt rääkiv
French telephone	Prantsuse telefon (ühe toruga)
french toast	magus prealeiva viil
French West Africa	Prantsuse Lääne-Aafrika
french window	klaasuks (aeda, rõdule)
Frenchwoman	peantslanna
frenetic	pöörane
frenetically	pööraselt
frenzied	hullunud, meeletu
frenziedly	hullunult
frenzy	meeletus, pöörasus
frenzy of desire	pöörane iha, ihaldushoog
frequence	sagedus (ainult: sündmuse toimumisi ajaühikus)
frequency	sagedus
frequency band	sagedusriba
frequency dictionary	sagedussõnaraamat
frequency meter	sagedusmõõtur
frequency modulation	sagedusmodulatsioon
frequency of attendance	külastatavus
frequent	sage, korduv ; tihti külastama
frequentative suffixes	frekventatiiviliited
frequentative verb	frekventatiivne tegusõna
frequenter	püsiklient
frequently	sageli, tihti, korduvalt
fresco	fresko
frescoes	freskod
frescos	freskod
fresco secco	fresco secco (sein krohvitakse ja maalitakse)
fresh	värske, uudne, nipsakas ; just, äsja
fresh air	värske õhk
fresh-baked	ahjusoe
fresh breeze	mõõdukas tuul
fresh-cut	lõike- (lill)
freshen	värskendama, (tuul) tugevnema
freshener	värskendaja
freshen the air	tuulutama
freshen up	(end/sihitist) värskendama, välja puhkama
fresher	rebane (1. kursuse üliõpilane)
freshest	kõibe värskem
freshet	sademevesi, tulvavesi (vihma, sulamis-), suurvesi
fresh fish	kahuriliha
fresh foods	toortoit
fresh gale	väga vali tuul (8 palli)
freshly	värskelt, äsja
freshman	uustulnuk, esimese aasta õpilane
freshman year	esimene aasta (ülikoolis)
freshness	värskus, virgus, uudsus, nipsakus
fresh-painted	värskelt värvitud
fresh start	uus algus, otsast alustamine
freshwater	magevee-, järve- ; selgeveeline
fresh water	magevesi
fresh-water	magevee-
fresh-water fish	mageveekala
freshwater lake	mageveejärv
fresh wind	kaunis tugev tuul (5 palli)
fress	prassima, õgima
fret	närvitsema, irisema, kulutama, hõõruma, uuristama
fretful	närviline, rahutu, viril
fretfully	rahutult
fretfulness	ärritus
fretsaw	jõhvsaag, vineerisaag
fretwork	liistornament, puunikerdus
Freudian	Freudi, freudistlik ; freudist
Freudianism	freudism
Freudian slip	alateadlik eksitus
Freudism	freudism
Frey	Frey (viljakusjumal)
Freya	Freya (armastusjumalanna)
Freyja	< Freya
Freyr	< Frey
Fri	R (reede)
friability	pudedus
friable	sõmer, murenev, pudenev
friar	munk, palvevend
friar's lantern	virvatuli
friary	mungaklooster
fribble away	käest laskma
fricassee	fikassee (lihahautis)
fricative	hõõrdhäälik, frikatiiv
friction	hõõrdumine, hõõrumine
frictional	hõõrde-
frictionless	hõõrdumiseta
friction match	tikk
friction tape	isoleerpael
friday	reede
Friday	reede
Friday the thirteenth	reede kolmeteistkümnes
fridge	külmik
fridge-freezer	sügavkülmik
fried	praetud
friedcake	sõõrik
fried egg	praetud muna, härjasilm
fried potatoes	praekartulid
friend	sõber
Friend	kveeker
friendless	sõpradeta
friendliness	sõbralikkus
friendly	sõbralik ; (spordis) sõpruskohtumine
friendly fire	omade tulistamine
Friendly Islands	Tonga saared
friend of the court	kohtu nõustaja
friendship	sõprus
frier	broiler
fries	krõpsud
Friesian	Friisi veis
Friesland	Friisimaa
frieze	friisriie, friis (korduva mustriga riba)
friezing	ratineerimine
frigate	fregatt
frigate bird	fregattlind
fright	ehmatus, hirmutis
frighten	ehmatama, hirmutama
frighten away	eemale peletama, julgust röövima
frightened	hirmunud, kartlik
frightening	hirmuäratav, ehmatav
frighteningly	ehmatavalt, hirmuäratavalt
frighten off	ära peletama, julgust röövima
frightful	jube, kohutav, õudne
frightful bore	õudne tüütus
frightfully	õudselt, jube
frightfully rich	jube rikas
frightfulness	ähvardavus
frigid	frigiidne, külm (ka suguelu suhtes), jäine
frigidity	frigiidsus, sugukülmus, jäisus
frigidly	külmalt
frigid zone	polaarvööde
Frigid Zone	polaarvööde, polaarala
frigorific	jahutav, jäätav
frill	rüüs, pitsrüüs
frilled	rüüs-
frills	nikerdised, sitsid-satsid
frilly	satsiline
fringe	äär, serv, narmas, juuksetukk ; ääristama ; ääre-
fringe area	ääreala
fringe benefit	lisasoodustus (töökohal)
fringe cup	suureõieline tellima (Tellima grandiflora)
fringed	ümbritsetud, narmastega ääristatud
Fringilla	vint (lind)
Fringillidae	vintlased
fringy	serva-, ääre-
frippery	tühi-tähi
frisbee	frisbi, lendav taldrik
Frisco	Frisco (= San Francisco)
Frisian	Friisi, friisi ; friislane, friisi keel
Frisian Islands	Friisi saared
frisk	kepsu lööma, hullama ; läbiotsimine, läbi kobamine
frisk about	kepsu lööma
friskily	elavalt, lustlikult
friskiness	elavus, mängulust
frisking	(inimese) läbiotsimine
frisky	vallatu, mänglev
frisson	judin (meeldiv), erutusvärin
frisson of fear	hirmujudin
frit	fritt ; frittima
frittata	(kahelt poolt praetud) juurviljaomlett
fritter	pruunistama, tuulde loopima ; fritüür
fritter away	raiskama, pillama
fritter away time	aega raiskama
Fritz	Fritz (= Frederick)
frivol away	tuulde loopima, kergemeelselt kulutama
frivolity	kergemeelsus, pisiasi, lolli mängimine
frivolous	frivoolne, kergemeelne
frivolously	frivoolselt
frivolousness	kergemeelsus, frivoolsus
frizz	lokkima, kähardama (juukseid)
frizzle	krõbedaks praadima, lokkima, kähardama
frizzly	krässus, kähar
frizzy	krässus, kähar
fro	tagasi (ainult: to and fro)
frock	mungarüü, preestrirüü, kleit
frog	konn (ka halvustavalt prantslase kohta), iluaas
frogeater	konnasööja (prantslane)
frogging	konnapüüdmine, kalpsamine
froggy	konnadest kubisev, konna-
frog kick	konnatõmme (ujumisel)
frog legs	konnakoivad (toiduna)
frogman	kanalisatsioonitööline, sukelduja, akvalangist
frogmarch	käsi-jalgupidi tassima, (seotud kätega) vedama
frogspawn	konnakudu
frog-spawn	konnakudu
frolic	hullama, trallitama ; hullamine, vallatlus
frolic about	hullama
frolickly	hullavalt, vallatlevalt
frolicky	ülemeelik
frolicsome	ülemeelik
frolicsomeness	ülemeelikus
from	- (millest, kust)
from afar	eemalt, kaugemalt
from all points of the compass	igast ilmakaarest
from all quarters	igast küljest, kõigist neljast küljest
from A to Z	algusest lõpuni
from bad to worse	vihma käest räästa alla
from beginning to end	algusest lõpuni
from cover to cover	kaanest kaaneni
from dawn till dusk	koidust ehani
from day to day	päevast päeva
from door to door	ukselt uksele
from dusk till dawn	ehast koiduni
from every quarter	igast ilmakaarest
from fair to middling	käib küll
from first to last	algusest lõpuni, esimesest viimaseni
from force of habit	harjumuse jõul, vanast harjumusest
from habit	harjumusest
from hand to hand	käest kätte
from hand to mouth	peost suhu
from head to foot	pealaest jalatallani
from here on	siit edasi, nüüdsest
from here to eternity	nüüd ja igavesti
from now on	edaspidi, nüüdsest
from pillar to post	ühest jamast teise
from range	kaugelt
from scratch	nullist, algusest
from side to side	küljelt küljele
from stem to stern	otsast otsani, vöörist tüürini
from the beginning	algusest
from the bottom of your heart	südame põhjast, kogu südamest
from the cradle to the grave	hällist hauani
from the first	esimesest
from the get-go	päris algusest peale, maast-madalast
from the ground up	algusest peale
from the heart	südamest, siiralt
from-the-hip	põlve otsas tehtud, puusalt pandud
from the horse's mouth	algallikast
from the word 'go'	algusest peale
from time immemorial	mäletamatutest aegadest
from time to time	aeg-ajalt
from top to bottom	pealaest jalatallani, ülalt alla, üleni
from top to toe	pealaest jalatallani
from under	alt
from way back	ammusest ajast
front	esi-, ava-, välis- ; esikülg, rinne, front, ilme
frontage	esikülg, fassaad, tänavapoolne külg
frontal	frontaalne, esi-, üld-, otsmiku-
frontal assault	frontaalrünnak, otsepealetung
frontal attack	frontaalrünnak, pealetung kogu rindel
frontal bone	otsmikuluu
frontally	frontaalselt, esiküljega, rinnutsi
front axle	esisild
front bench	eesmine pink (Br parlamendis ministri-iste)
front crawl	krool (ujumisstiil)
front desk	administraator, vastuvõtt (er hotellis)
front door	välisuks, eesuks
front end	eessüsteem, esikomponent (kasutajapoolne liides)
front foot	esijalg
front hall	eeskoda
frontier	piir, piiriala
frontier post	piiritulp
frontiersman	piiriala elanik, ääremaalane
frontispiece	frontispiss, frontoon
frontlet	laubaehe
front line	rindejoon
front man	variisik
front matter	sissejuhatavad osad
front money	ettemaks
front page	esikülg, avalehekülg
front-page	esikülje- ; esiküljele panema
front rank	eesrindlik
front-ranking	parim, tipptasemel
front runner	favoriit
front-runner	favoriit
frontstall	(hobuse) peakiiver
front vowel	eesvokaal
frontward	ettepoole, ette, edasisuunas
frontwards	ette, edasi
front-wheel	esiratas
front-wheel drive	esivedu, esisillavedu
frore	pakane
frosh	rebane (1 aasta õpilane)
frost	härmatis, hall, külm ; härma minema, tuhksuhkrdama
frostbite	külmakahjustus
frost-bite	külmakahjustus
frostbitten	külmavõetud
frost-bitten	külmavõetud
frost-bound	külmunud (maapind)
frosted	härmatisega kaetud, tuhksuhkurdatud
frosted glass	mattklaas
frostflower	aster (Aster)
frost flowers	astrid
frostily	jäiselt
frosting	uduseks tõmbumine ; suhkruvaap
frost mist	hall, härmatis
frost over	härmatisega kattuma, tuhksuhkruga katma
frostproof	külmakindel
frost snow	härmatis
frostweed	kuldkann (Helianthemum)
frosty	külm, härmas
froth	vaht (mullid), õllevaht ; vahutama
froth at the mouth	suust vahtu välja ajama ; suu vahus
froth-born	vahust sündinud (jumalanna)
frothily	vahutavalt
frothing	vahutav
frothy	vahutav
frottage	hõõrumine, frotaaž (rahvamassis masturbeerimine)
frotteur	frotöör, nühkija
froufrou	seelikusahin, sitsid-satsid
frou-frou	sahisemine, seeliku sahin, sitsid-satsid
frouzy	< frowzy
froward	tõrges, vastu hakkav
frowardly	tõrksalt, vastu hakkavalt
frowardness	kuuletumatus
frown	kulmukortsutus ; kulmu kortsutama
frowning	kulmukortsutus, halvakspanu
frowningly	kulmukortsutusega, pahakspanevalt
frown on	pahaks panema, (millegi peale) kulmu kortsutama
frown upon	pahaks panema, (millegi peale) kulmu kortsutama
frowsty	läppunud, räpakas
frowsy	< frowzy
frowzled	korratu, räpane
frowzy	räpane, kasimatu, pesemata (juustega), haisev
frozen	külmutatud, jäätunud, tardunud
frozen assets	külmutatud aktivad
frozen food	külmutatud toiduained
frozen foods	külmutatud toiduained
frozen solid	kõvakskülmunud
frozen to death	surnuks külmunud
fructification	viljakandmine
fructify	vilja kandma, viljakandvaks muutma
fructose	fruktoos, puuviljasuhkur
fructuous	viljakandev, viljakas
fructuousness	viljakus
frugal	säästlik, kokkuhoidlik, lihtne
frugality	kokkuhoidlikkus
frugally	kokkuhoidlikult, säästlikult
frugalness	kokkuhoidlikkus
frugivorous	puuviljadest toituv
fruit	vili, puuvili ; vilja kandma
fruitage	viljasaak
fruitarian	puuviljatoitlane
fruit bar	õunakook
fruit bat	lendkoer (nahkhiir)
fruit bearing	vilja-, viljakas
fruitcake	puuviljakook, puuviljatort, napakas
fruit cocktail	puuviljasegu
fruit-eating	puuviljadest toituv
fruiterer	(Br) puuviljamüüja
fruit fly	veinikärbes, puuviljakärbes (Drosophilidae)
fruitful	viljakas
fruitfullness	viljakus, viljakandvus
fruitfully	viljakalt
fruitfulness	viljakus, viljakandvus
fruit garden	puuviljaaed
fruiting	viljakandev
fruiting body	viljakeha
fruition	teostumine, täitumine, vili
fruit jelly	puuviljatarretis
fruit juice	puuviljamahl
fruit knife	puuviljanuga
fruitless	viljatu, viljakandmatu
fruitlessly	viljatult
fruitlet	mari (er üks vili viljakobarast)
fruit-machine	puuviljadega rull (hasartmänguautomaat)
fruit machine	puuviljadega rull (hasartmänguautomaat)
fruit peel	koor (õuna vm)
fruit picker	puuviljakogur
fruit press	mahlapress
fruit salad	puuviljasalat
fruits and vegetables	puu- ja köögiviljad
fruit sugar	puuviljasukhur
fruit tree	viljapuu
fruitwood	viljapuupuit
fruity	mahlakas, puuvilja-, nupust nikastanud
frump	krõhva
frumpish	vanamoodne, iganenud
frustrate	frustreerima, pidevalt häirima, tuska tegema
frustrated	pettunud, läbikukkunud
frustrating	pettumust valmistav, masendav
frustration	tusk, pettumus, frustratsioon, häiritus
frustum	koonuse alumine osa
frustum of	tüvi- (koonuse püramiidi vms keha)
fruticose	põõsas-, võsastiku
fruticulose	põõsas-, võsastiku
fry	praadima ; põnn
fry cook	praekokk
fryer	broileriliha
frying	praadimine ; kõrvetav
frying pan	praepann
frypan	(Am) praepann
fry-pan	(Am) praepann
FSA	lõplik automaat (= finite state automaton)
FSB	föderaalpank (= Federal Savings Bank)
FSU	endine NL
ft	jalga (= feet)
fthm	6 kuupjalga (maaki), 6 jalga (veesügavuse mõõt)
FTP	FTP (= file transfer protocol)
FUBAR	-, täitsa perses
fubsy	paksuke
fuchsia	fuksia
fuchsine	fuksiin (punane värvaine)
fuck	nikkuma, nussima ; kurat
fuck about	ringi hoorama
fuck all	(Br) mitte persetki
fucked-up	perses
fucker	idikas
fucking	kuradi
fuck up	persse keerama, ära vussima
fucus	adru
FUD	hirm ebakindlus ja kahtlused
fuddle	purjutama, jommi jääma
fuddled	uimane, purjakil
fuddy-duddy	lubjakas, tüütus, memmekas, tossike
fudge	eemale hoidma, võltsima ; (pehme) komm
fudge together	kokku mötsima
fuehrer	< führer
Fuehrer	< Führer
fuel	kütus ; kütma, õhutama, tankima
fuel additive	kütuselisand
fuel cell	kütuseelement, akumulaator
fuel consumption	kütusekulu
fuel gauge	kütusenäidik
fuel indicator	kütusenäidik
fueling	tankimine, toitmine
fuel injection	sissepritse
fuel oil	diisliõli, raske kütteõli
fuel pod	(lennuki lahtikäiv) kütusepaak
fug	(Br) läppunud õhk
fugacious	lühiajaline, kiirelt kaduv, efemeerne
fugaciousness	lühiajalisus
fugacity	kaduvus, püsimatus
fugal	fuuga-
fugato	fugaato
fuggy	(Br) läppunud, õhutamata
fugitive	põgenik ; põgus, kiiresti mööduv
fugitively	põgusalt
fugleman	rühmaülem, (partei, firma, üksuse vm) juht
fugu	fugu
fugue	fuuga, vaimne eemalviibimine
fuhrer	< führer
Fuhrer	< Führer
Fuji	Fuji, Fudžijama
Fuji-san	Fuji-san, Fudžijama
Fujiwara	Fujiwara
Fujiwara dance	Fujiwara tants (kaks haakunud troopilist tsüklonit)
Fujiwhara effect	Fujiwara efekt (kahe tsükloni haakumine)
Fujiyama	Fudžijama
Fula	< Fulfulde
Fulah	< Fulfulde
fulani	fulani (keel Kesk-Aafrikas)
Fulani	< Fulfulde
fulcrum	võll
fulfil	täitma, täide viima
fulfill	täitma, rahuldama
fulfilled	täitunud, täidetud, rahulolev
fulfillment	täitumine, rahuldus
fulfill your duty	oma kohust täitma
fulfilment	täitumine, rahuldus
Fulfulde	fulbe keel, fulani keel
fulgent	välkvalge
fulgid	välkuv, sätendav
fulgurant	välgulöögina mõjuv, välkuv, lahvatav
fulgurant pain	torkiv valu
fulgurating	torkiv, terav (valu)
fulguration	välgatus, vaimuvälgatus
fulgurous	välgulöögina mõjuv, välkuv, lahvatav
fulham	võltstäring
Fulica	lauk (lind)
fuliginous	mustjas (pilv, udu), hämar, nõgine
full	täis, otse ; täielik
fullage	jäätmed, tänavaprügi
full age	täisiga
full and by	tihttuules
full and down	täislastis
full authority	kõik õigused, täisvolitus
fullback	kaitsja (nt jalgpallis)
full blast	täisvõimsus, täistuurid
full blood	puhastverd (hobune)
full-blood	puhastverd (hobune)
full-blooded	puhastverd, täisjõus
full-bloodedness	tõupuhtus
full-blown	täismahuline, õitsengu tipus
full-bodied	täie aroomibuketiga
full-bosomed	lopsakas (naisekeha)
full-breasted	väljaarenenud rindadega, lopsakate rindadega
full-brimmed	pilgeni täis
full cavity search	kehaõõnsuste läbiotsimine
full circle	täisring
full-clad	lõpetatud, detailideni viimistletud
full consent	täielik nõusolek
full cousin	nõbu
full-crammed	täistuubitud
full-cream	täis-, koorimata (piim)
full dress	ülikond
full-dress	pidulik, formaalne, täielik
full-dress uniform	pidulik vormirõivas
fuller	vanuti, rennihaamer, vanutaja
fuller's earth	fullermuld
full-fashioned	keha ümber liibuv (kootud rõivas)
fullfil	täituma
full-fledged	täiskasvanuks saanud, lõpuni arenenud
full form	täiskuju
full-frontal	eestvaates
full gainer	tagurpidisalto (vettehüppel)
full gale	tormituul (10 palli)
full-grown	täiskasvanud
full homonym	täishomonüüm
full house	täismaja (teatris, kontserdil vm), maja (pokkeris)
fulling	vanutamine
full-length	täispikk, maani (peegel, kleit)
full load	täiskoorem
full monty	kogu kama, kõik korraga
full moon	täiskuu
fullmouthedly	täis suuga
full name	täisnimi
fullness	täielikkus, lõpetatus
fullness of time	paras aeg
full of	täis
full of beans	särtsu täis
full of fight	täis võitlusvaimu
full of fushion	(Š) särtsakas
full of go	tarmu täis
full of hate	vihast pulbitsev
full of hatred	vihkamist täis
full of holes	auklik (ka argumentatsioon vms)
full of hope	lootusrikas
full of life	elust pulbitsev
full of wind	paisunud (kõht, puri), täispuhutud
